system:index,ADM0_CODE,ADM0_NAME,ADM1_CODE,ADM1_NAME,DISP_AREA,EXP1_YEAR,STATUS,STR1_YEAR,Shape_Area,Shape_Leng,mean,median,month,stdDev,year
0_000000000000000000b3,44,Cambodia,804,Otdar Meanchey,NO,3000,Member State,1995,0.5532486009,4.551822637,0.4197816293,0.4023356486,1,0.1846473837,2021
0_000000000000000000bb,44,Cambodia,811,Siem Reap,NO,3000,Member State,1995,0.8808367611,5.580395136,0.4409994859,0.4101282388,1,0.2042044043,2021
0_000000000000000000a8,44,Cambodia,792,Battambang,NO,3000,Member State,1997,0.9882713243,6.08763043,0.4461755596,0.4179618948,1,0.210439603,2021
0_000000000000000000b4,44,Cambodia,805,Pailin,NO,3000,Member State,1997,0.08886359898,1.471673162,0.547668549,0.5351377936,1,0.220375031,2021
0_000000000000000000a5,44,Cambodia,65290,Area under National Administration 1,NO,3000,Member State,1000,0.2122933686,5.269380318,-0.3093171156,-0.3633676657,1,0.218827854,2021
0_000000000000000000a6,44,Cambodia,65289,Area under National Administration 2,NO,3000,Member State,1000,8.00E-04,0.3798973226,0.6804123012,0.8397960047,1,0.3234249426,2021
0_000000000000000000a7,44,Cambodia,791,Banteay Meanchey,NO,3000,Member State,1000,0.5109201907,4.57108768,0.3363877155,0.2929234411,1,0.1737383856,2021
0_000000000000000000a9,44,Cambodia,793,Kampong Cham,NO,3000,Member State,1000,0.7840018665,7.041655791,0.4658790645,0.472643108,1,0.2657959223,2021
0_000000000000000000aa,44,Cambodia,794,Kampong Chhnang,NO,3000,Member State,1000,0.4401159544,4.193322103,0.4155544228,0.3866862477,1,0.2446481788,2021
0_000000000000000000ab,44,Cambodia,795,Kampong Speu,NO,3000,Member State,1000,0.5775433974,4.497900831,0.4475243136,0.410129925,1,0.213172285,2021
0_000000000000000000ac,44,Cambodia,796,Kampong Thom,NO,3000,Member State,1000,1.037093382,6.976872051,0.5525503291,0.5664014109,1,0.2380418425,2021
0_000000000000000000ad,44,Cambodia,797,Kampot,NO,3000,Member State,1000,0.3883810755,3.587786638,0.5426906651,0.542962567,1,0.2306827741,2021
0_000000000000000000ae,44,Cambodia,798,Kandal,NO,3000,Member State,1000,0.2949470551,4.935718016,0.3807300683,0.433579603,1,0.3303230549,2021
0_000000000000000000af,44,Cambodia,800,Kep,NO,3000,Member State,1000,0.01260676424,0.8511547275,0.4134358733,0.4023503813,1,0.2418252871,2021
0_000000000000000000b0,44,Cambodia,799,Koh Kong,NO,3000,Member State,1000,0.9968448838,7.337115505,0.7409323613,0.8243645514,1,0.1933451928,2021
0_000000000000000000b1,44,Cambodia,801,Kratie,NO,3000,Member State,1000,0.9955412798,6.372926476,0.4837780698,0.4882760824,1,0.2430876018,2021
0_000000000000000000b2,44,Cambodia,803,Mondul Kiri,NO,3000,Member State,1000,1.131673463,6.150690158,0.5565342767,0.5820342289,1,0.1938861564,2021
0_000000000000000000b5,44,Cambodia,806,Phnom Penh,NO,3000,Member State,1000,0.03116094386,1.066500082,0.2161236964,0.2070371719,1,0.263277349,2021
0_000000000000000000b6,44,Cambodia,802,Preah Sihanouk,NO,3000,Member State,1000,0.1326968649,3.919131182,0.5527542882,0.6210906929,1,0.258874892,2021
0_000000000000000000b7,44,Cambodia,807,Preah Vihear,NO,3000,Member State,1000,1.171947069,6.384016149,0.5242095067,0.5351604572,1,0.1933739221,2021
0_000000000000000000b8,44,Cambodia,808,Prey Veng,NO,3000,Member State,1000,0.3932775827,3.582943269,0.4205019559,0.3632433151,1,0.2600325118,2021
0_000000000000000000b9,44,Cambodia,809,Pursat,NO,3000,Member State,1000,0.9605296656,7.061150894,0.5955712003,0.6523654723,1,0.2243011842,2021
0_000000000000000000ba,44,Cambodia,810,Ratanak Kiri,NO,3000,Member State,1000,0.9851667197,6.15269804,0.6419664485,0.6914075407,1,0.2240875741,2021
0_000000000000000000bc,44,Cambodia,812,Stung Treng,NO,3000,Member State,1000,1.009749037,6.2978308,0.6094477751,0.6835872198,1,0.29115012,2021
0_000000000000000000bd,44,Cambodia,813,Svay Rieng,NO,3000,Member State,1000,0.2366272897,3.115029868,0.4001359861,0.3710682869,1,0.1821977528,2021
0_000000000000000000be,44,Cambodia,814,Takeo,NO,3000,Member State,1000,0.2864885141,3.1252766,0.4275023882,0.3788513569,1,0.2457799821,2021
